iter	MultiClass
196	0.2916307148
197	0.2903351408
198	0.289165041
199	0.2884761233
200	0.2877127854
201	0.2862634703
202	0.2855230763
203	0.2845607983
204	0.2837417265
205	0.2828132765
206	0.2815083494
207	0.280151063
208	0.2794304223
209	0.2783790386
210	0.2779076425
211	0.2772032679
212	0.2764572373
213	0.2759200966
214	0.2749168032
215	0.2738930644
216	0.2726322302
217	0.2715398521
218	0.2706675828
219	0.2695432607
220	0.2686733573
221	0.267681488
222	0.2665732357
223	0.2657460942
224	0.2647688703
225	0.2634581147
226	0.2622965965
227	0.261293273
228	0.260380715
229	0.2596641373
230	0.2585757394
231	0.2571830509
232	0.2565191868
233	0.2552729142
234	0.2541417726
235	0.2525988302
236	0.2519342765
237	0.2511788789
238	0.2501083401
239	0.2492709754
240	0.2488404135
241	0.2479472449
242	0.2471861056
243	0.2462145761
244	0.2452721558
245	0.2443267997
246	0.2433099529
247	0.2425035807
248	0.2417358198
249	0.2409451236
250	0.2400770228
251	0.2393762551
252	0.2383207526
253	0.2377571191
254	0.2367487291
255	0.2360545538
256	0.235453213
257	0.2346426277
258	0.2335999669
259	0.2326043419
260	0.2317227711
261	0.2310332233
262	0.2301629348
263	0.2293760821
264	0.2287691493
265	0.2278967365
266	0.2273366076
267	0.2261573334
268	0.2254316091
269	0.2244957354
270	0.2235085761
271	0.2229312491
272	0.2218196656
273	0.2210518788
274	0.2203281102
275	0.2193621396
276	0.2185427024
277	0.2179443275
278	0.2173933379
279	0.2166851434
280	0.2159963777
281	0.2152559012
282	0.2144376983
283	0.2135883859
284	0.2131807576
285	0.2126548652
286	0.2117113653
287	0.2108410403
288	0.2102939415
289	0.209036368
290	0.2086056294
291	0.2079228014
292	0.2072579791
293	0.2065590049
294	0.2059229203
295	0.2055527807
296	0.205038249
297	0.2044022826
298	0.2038440677
299	0.203144176
300	0.2028742081
301	0.2022773727
302	0.2018581066
303	0.2012941624
304	0.2007244362
305	0.2000781581
306	0.1994639547
307	0.198832125
308	0.1982869196
309	0.1974854873
310	0.1965505855
311	0.1958699341
312	0.1953956506
313	0.1947783172
314	0.193908789
315	0.1933858555
316	0.1924983097
317	0.192080469
318	0.1914748236
319	0.1909698796
320	0.1904037921
321	0.1898082909
322	0.1891407836
323	0.1883914663
324	0.1876907625
325	0.1872226713
326	0.1866680522
327	0.1860597017
328	0.185461603
329	0.1848047797
330	0.1841263908
331	0.1837127786
332	0.1830569119
333	0.1827297144
334	0.1820701651
335	0.181537476
336	0.1810700601
337	0.1805556677
338	0.1799724818
339	0.1792938188
340	0.1787949561
341	0.1781820362
342	0.1775320908
343	0.1770394574
344	0.1764681993
345	0.1760045667
346	0.1751072428
347	0.1745757945
348	0.1740752759
349	0.1733988774
350	0.1727975285
351	0.1722473191
352	0.1719444557
353	0.1710833689
354	0.1705073517
355	0.1700593086
356	0.1696983908
357	0.1694090669
358	0.169054482
359	0.1686323826
360	0.1681364651
361	0.1675485499
362	0.1670561284
363	0.1665368651
364	0.1660167743
365	0.1656205763
366	0.1652248831
367	0.1648965446
368	0.1644446459
369	0.1639069476
370	0.1631293067
371	0.1625842203
372	0.1620467641
373	0.161355609
374	0.1610857586
375	0.160513394
376	0.1602715715
377	0.1598258001
378	0.1596157446
379	0.1593186782
380	0.1586121552
381	0.158294496
382	0.1581112349
383	0.1576316333
384	0.1571378782
385	0.1566516309
386	0.1563695927
387	0.1559199977
388	0.1556417245
389	0.1553094071
390	0.1550372097
391	0.154556404
392	0.1542765904
393	0.1538328496
394	0.1533330647
395	0.1529098914
396	0.1525517628
397	0.1521836228
398	0.1516101867
399	0.1510552886
400	0.1505607725
401	0.1500536078
402	0.1494320798
403	0.1491160077
404	0.1487197961
405	0.1485205239
406	0.1481559026
407	0.1477775216
408	0.1474177349
409	0.1468367701
410	0.1464722011
411	0.1460980197
412	0.1455740411
413	0.1452370997
414	0.1448183577
415	0.1443290692
416	0.1438859082
417	0.1436111389
418	0.1432212003
419	0.1429898458
420	0.1427399983
421	0.1420573112
422	0.1415903079
423	0.1412437125
424	0.1408002761
425	0.1404236405
426	0.140141217
427	0.139856967
428	0.13948687
429	0.1392881455
430	0.1386907788
431	0.1382924747
432	0.1378555422
433	0.1373478041
434	0.1369578824
435	0.1366487894
436	0.136338542
437	0.1360205371
438	0.1357631339
439	0.1354787317
440	0.1352245851
441	0.1347823302
442	0.1343283333
443	0.1339579809
444	0.1336624229
445	0.1331642682
446	0.1329675438
447	0.1326610171
448	0.1322510897
449	0.1320157862
450	0.1317012187
451	0.1312204515
452	0.1307332935
453	0.1304713508
454	0.1301040337
455	0.1296175399
456	0.1290822038
457	0.128849543
458	0.1286006826
459	0.1283900709
460	0.1280981915
461	0.1276335872
462	0.1271753579
463	0.1268624855
464	0.1266027357
465	0.1261477062
466	0.1257640544
467	0.1253970452
468	0.1248954243
469	0.1247410493
470	0.1244137078
471	0.1241227123
472	0.1238092843
473	0.1232877735
474	0.122953712
475	0.1228062281
476	0.12256278
477	0.1222159606
478	0.1218567647
479	0.1216175453
480	0.1212586071
481	0.1209803763
482	0.1206471841
483	0.1204466998
484	0.1200614238
485	0.1199516746
486	0.1196071182
487	0.1192316776
488	0.1188390136
489	0.1186691377
490	0.1182761378
491	0.1179863865
492	0.1177112034
493	0.1173907682
494	0.1170429375
495	0.1167331414
496	0.1163741059
497	0.1161201011
498	0.1158218538
499	0.1156136344
500	0.1154430287
501	0.115139317
502	0.114909077
503	0.114623285
504	0.1143072097
505	0.1140324994
506	0.113675627
507	0.1134091706
508	0.1133020114
509	0.1131349078
510	0.113007116
511	0.1127339546
512	0.1122318256
513	0.1120608825
514	0.111848593
515	0.1114865408
516	0.1112588245
517	0.1109262774
518	0.1106098379
519	0.1103852692
520	0.1102506715
521	0.1099884605
522	0.1097873813
523	0.1095499991
524	0.1092734245
525	0.1090664447
526	0.1087369864
527	0.108565442
528	0.1082888616
529	0.1079719224
530	0.1078184868
531	0.107496029
532	0.1073155426
533	0.1071330598
534	0.1068911784
535	0.1067352197
536	0.1065410351
537	0.1062552422
538	0.1059799678
539	0.1057752775
540	0.1054930345
541	0.1053271959
542	0.105166099
543	0.1048067481
544	0.1045977172
545	0.1044951488
546	0.104356886
547	0.1040144107
548	0.1038794349
549	0.1036176195
550	0.103424198
551	0.1031800404
552	0.1030988957
553	0.102983007
554	0.1027946256
555	0.1026426525
556	0.1023328984
557	0.1021363153
558	0.1019639909
559	0.1015829886
560	0.1014475027
561	0.1012955949
562	0.1011237732
563	0.1008704648
564	0.1005963805
565	0.1003249934
566	0.1002160348
567	0.09992940067
568	0.0997712066
569	0.09958050248
570	0.09936324196
571	0.09913413837
572	0.0989771782
573	0.09883357689
574	0.09852865594
575	0.09836114849
576	0.09808620264
577	0.09792595073
578	0.09776040535
579	0.09751295803
580	0.09725058646
581	0.0971370266
582	0.09691964428
583	0.09669590816
584	0.09634320132
585	0.09622087169
586	0.09605030336
587	0.09577877192
588	0.09537936843
589	0.09506207068
590	0.09486422337
591	0.09462513906
592	0.09447504518
593	0.09439799901
594	0.09425895223
595	0.09397119763
596	0.0938077359
597	0.09359057571
598	0.09339457972
599	0.09320109557
600	0.09300441714
601	0.09271767232
602	0.09254789569
603	0.09237276639
604	0.09222338731
605	0.09209397985
606	0.0920079976
607	0.0917978524
608	0.09163938231
609	0.09133561071
610	0.09124738232
611	0.0909764131
612	0.09088179145
613	0.09073529831
614	0.09043205408
615	0.09029391708
616	0.09004642169
617	0.08995734943
618	0.08983442303
619	0.08967933619
620	0.08953493086
621	0.08939689513
622	0.08915628477
623	0.0890173272
624	0.08879802482
625	0.08848052878
626	0.0883448381
627	0.08819211767
628	0.08800474462
629	0.08779219157
630	0.08760766017
631	0.08755040555
632	0.08744010912
633	0.08736280209
634	0.0871800039
635	0.08698264182
636	0.08675790097
637	0.08663392979
638	0.08648885067
639	0.08628560508
640	0.08615564547
641	0.08600334991
642	0.0858127954
643	0.08557561811
644	0.08535940516
645	0.08521808927
646	0.08505643086
647	0.08488425048
648	0.08475920489
649	0.08446215778
650	0.08435262871
651	0.0841942249
652	0.08412030902
653	0.0839320576
654	0.08370829978
655	0.08352028955
656	0.08341613272
657	0.08331860443
658	0.08321653588
659	0.08298026702
660	0.08284089513
661	0.08266362177
662	0.08254336823
663	0.08239818207
664	0.0821529292
665	0.08201324026
666	0.081845395
667	0.0816598409
668	0.0815096341
669	0.08129169441
670	0.08118343926
671	0.08102276474
672	0.08087893352
673	0.08076377084
674	0.08054022683
675	0.08040901161
676	0.08030799234
677	0.08012938647
678	0.07995430866
679	0.07966956757
680	0.07949728739
681	0.07938816086
682	0.07922916901
683	0.07906247175
684	0.07894298557
685	0.07884809532
686	0.07874597621
687	0.07860913177
688	0.07850986002
689	0.07840597865
690	0.07831573933
691	0.07819565541
692	0.07804122169
693	0.07788235942
694	0.07774586052
695	0.07760141329
696	0.07742384677
697	0.07731430903
698	0.0771271121
699	0.07703471967
700	0.07694748054
701	0.07677664024
702	0.0765920768
703	0.0764689965
704	0.07631027047
705	0.07617180844
706	0.07604052164
707	0.07586255013
708	0.07574628785
709	0.07559783739
710	0.0754980894
711	0.07534789637
712	0.07513512232
713	0.07497481697
714	0.07483385895
715	0.07470013817
716	0.07458786542
717	0.07444719258
718	0.07430612562
719	0.07419939359
720	0.07405258457
721	0.07390521645
722	0.07370019345
723	0.0736231754
724	0.0734548762
725	0.07341295504
726	0.07326044469
727	0.07311966617
728	0.07297934082
729	0.07282721554
730	0.07269341752
731	0.07247401816
732	0.07238333406
733	0.07231530937
734	0.07215229663
735	0.07200364819
736	0.07186722452
737	0.07173406175
738	0.07158662548
739	0.07151695055
740	0.07132228133
741	0.07123913903
742	0.07112044647
743	0.07097425104
744	0.07083469873
745	0.07073485678
746	0.07065446482
747	0.07053177072
748	0.07045024982
749	0.07035402221
750	0.07018002264
751	0.07006311278
752	0.06992085721
753	0.06983302876
754	0.06967332229
755	0.06959782828
756	0.0694152258
757	0.06932250636
758	0.06916449819
759	0.0689635881
760	0.0688014834
761	0.06873806192
762	0.06865370951
763	0.06847330975
764	0.06834004419
765	0.06826425413
766	0.06812027194
767	0.06798591541
768	0.06786765956
769	0.06776460502
770	0.06762071871
771	0.06755775048
772	0.06741413929
773	0.06730798828
774	0.06720856513
775	0.06707219409
776	0.06696600216
777	0.06683180155
778	0.06674624343
779	0.06657983491
780	0.06644827987
781	0.06636538082
782	0.06620506638
783	0.06608075237
784	0.06599915813
785	0.06588833206
786	0.06579787918
787	0.06568103346
788	0.06555000005
789	0.06548174028
790	0.06539323722
791	0.06527752098
792	0.06517103755
793	0.06504686757
794	0.0649660195
795	0.06485533114
796	0.06468911644
797	0.06460082251
798	0.06445098313
799	0.06440443132
800	0.06428791264
801	0.0642077488
802	0.06413439395
803	0.06410061658
804	0.06402687168
805	0.06391546024
806	0.06379889834
807	0.06364456303
808	0.06356299764
809	0.06348298607
810	0.06332178485
811	0.06321181887
812	0.06308012923
813	0.06300077693
814	0.06291212547
815	0.06277161898
816	0.06258641993
817	0.06246973985
818	0.06231341181
819	0.06224872943
820	0.06215175846
821	0.06205509417
822	0.06192030181
823	0.06184504778
824	0.06175729627
825	0.06162597993
826	0.0615016346
827	0.06140354174
828	0.06134024523
829	0.06124573621
830	0.06116185115
831	0.06102644821
832	0.06092658233
833	0.06079516966
834	0.06073211161
835	0.06068768656
836	0.06058169521
837	0.06048069417
838	0.06041320982
839	0.06031303475
840	0.06024170551
841	0.06017145609
842	0.06009792018
843	0.0600217365
844	0.05995459768
845	0.05987330374
846	0.05980555044
847	0.0597237399
848	0.05962665675
849	0.05956770722
850	0.05951889651
851	0.05942361166
852	0.05933723308
853	0.05924653063
854	0.05911552896
855	0.05899042433
856	0.05888570383
857	0.05877739153
858	0.05866017686
859	0.05854688963
860	0.05844453304
861	0.05837612173
862	0.05829860383
863	0.05823225193
864	0.05813993457
865	0.05809195402
866	0.05799628112
867	0.05789498328
868	0.05778529952
869	0.05765099331
870	0.05759392677
871	0.05751919297
872	0.05747971062
873	0.05736526426
874	0.05728048686
875	0.05719388249
876	0.05714292038
877	0.05705575145
878	0.05696264982
879	0.05690510704
880	0.05681592835
881	0.05674739332
882	0.05662147993
883	0.05654788599
884	0.05646468286
885	0.05636233588
886	0.05622794556
887	0.05615766007
888	0.05609621199
889	0.05597471002
890	0.05584946088
891	0.05575456837
892	0.05565546882
893	0.05559615031
894	0.0555370304
895	0.05545589222
896	0.05535832378
897	0.05527067863
898	0.05515894172
899	0.05511273223
900	0.05504569268
901	0.05494311513
902	0.05485587937
903	0.05478848531
904	0.05471301927
905	0.05462834595
906	0.05456337819
907	0.0544924695
908	0.05436434171
909	0.05425361736
910	0.05415876056
911	0.05408244109
912	0.05401013127
913	0.05392723038
914	0.05383247776
915	0.0537742013
916	0.05368048219
917	0.05361881861
918	0.05355586309
919	0.05345764172
920	0.05340362436
921	0.05332352216
922	0.05322033913
923	0.05310757842
924	0.05301583013
925	0.05294951813
926	0.05287747036
927	0.05280164543
928	0.05276476024
929	0.05269221255
930	0.05260224676
931	0.05255060288
932	0.05248636335
933	0.05241762815
934	0.05235387584
935	0.0522812367
936	0.05220998404
937	0.05211068985
938	0.05202303726
939	0.05191134131
940	0.051840275
941	0.05175239515
942	0.05168409876
943	0.05160197246
944	0.05151652663
945	0.05143059015
946	0.05137327509
947	0.05130383468
948	0.05120950431
949	0.05113294259
950	0.05102938274
951	0.05091682812
952	0.0508791181
953	0.05079409787
954	0.05069494916
955	0.05059009267
956	0.05049646338
957	0.05042259467
958	0.05038022025
959	0.05028836106
960	0.05021974789
961	0.05015581509
962	0.05010761766
963	0.04999170339
964	0.04991105078
965	0.04982178631
966	0.04973538813
967	0.04967063909
968	0.04962369723
969	0.04953578764
970	0.04948587071
971	0.04942542062
972	0.04935896079
973	0.04927494663
974	0.04919892021
975	0.04912824548
976	0.04905444716
977	0.04897909457
978	0.04890505666
979	0.04886631374
980	0.04881676271
981	0.04876374372
982	0.04866912045
983	0.04859198568
984	0.04849786058
985	0.04844483022
986	0.04836094171
987	0.04826323217
988	0.04819091931
989	0.04808242768
990	0.04800129345
991	0.04793795758
992	0.04785820897
993	0.04775101171
994	0.04770467011
995	0.04764716301
996	0.04754831459
997	0.04743682445
998	0.04737446628
999	0.04733699957
